reference	verse	book
Matthew 12:45	The same thing _event will happen to this group/generation [if (implicit-situational) this group/generation does not change this group's/generation's thoughts and actions [so that those thoughts and actions please God]]	Matthew
Genesis 16:5	Then Sarai said to Abram, ["I(Sarai) blame you(Abram) [that my(Sarai's) servant is acting badly to me(Sarai)]].  I(Sarai) allowed [you(Abram) to sex my(Sarai's) servant].  [When my(Sarai's) servant became pregnant] my(Sarai's) servant began to act badly to me(Sarai). I(Sarai) pray to Yahweh [that Yahweh will punish you(Abram)!]"	Genesis
Daniel 11:41	The king of the north region will also attack the Beautiful Land. That king will defeat many countries. But that king will not defeat Edom and Moab. Also the leaders of Ammon will escape from this king.	Daniel
1 Samuel 19:9	But an evil spirit [that came from Yahweh] entered Saul again. At that time Saul was sitting in Saul's house. And Saul was holding a spear. David was playing a harp.	1_Samuel
2 Samuel 7:29	Please (imp) you(Yahweh) bless my(David's) family. (imp) You(Yahweh) allow [my(David's) family to serve you(Yahweh) forever]. Yahweh-Almighty, you(Yahweh) said these wonderful things. (imp) You(Yahweh) bless my(David's) family forever."	2_Samuel
Genesis 16:9	Yahweh spoke to Hagar through the angel. The angel said to Hagar, ["You(Hagar) (imp) return to your(Hagar's) master named Sarai]. and you(Hagar) (imp) obey Sarai."	Genesis
2 Samuel 2:14	Then Abner said to Joab, ["Let us(Abner) choose some young men [that will fight each-other(men)]].  Those men will fight each-other(men) in front of us(Abner)." Joab said, ["Ok]. We(Joab) will let [the men [who are the best soldiers]  fight each-other(men)]."	2_Samuel
2 Samuel 21:20	Later the Israelites fought the Philistines at Gath. A very large man was at Gath. That man had 6 fingers on each hand. And that man had 6 toes on each foot. That man also was one of Rapha’s descendants.	2_Samuel
Acts 15:33	[After Judas and Silas stayed in Antioch for some time], the people [who believe in Jesus] prayed to God [in order to ask God to help Judas and Silas [while Judas and Silas traveled]]. Then the people [who believe in Jesus] sent Judas and Silas to Jerusalem. So Judas and Silas began to return to the leaders [who were in Jerusalem] [and who had sent Judas and Silas to Antioch].	Acts
Genesis 11:30	Sarai was not able [to have children].	Genesis
Matthew 22:4	_paragraph Then that king sent more servants-B. And that king said to those servants-B, ["You(servants) (imp) tell the people [whom I(king) have invited to the meal/feast _implicit] [that I(king) have prepared my(king's) meal/feast]]. My(king's) cow [that people use [in order to do work]] and my(king's) fat cattle were killed/slaughter by my(king's) servants-B _implicitActiveAgent. And all things-A are prepared-B by my(king's) servants-B _implicitActiveAgent. You(people) (imp) come to the meal/feast!"	Matthew
Genesis 11:20	[When Reu was 32 years old] Reu had a son named Serug.	Genesis
Genesis 23:19	Later Abraham buried Abraham's wife named Sarah in the cave [that is in that field]. That field was in Machpelah [which is near Mamre]. -Footnote Later people in Canaan called Mamre Hebron.	Genesis
Genesis 32:12	You(God) said to me(Jacob), [“I(God) will treat you(Jacob) kindly.] The number of your(Jacob's) descendants will be like the number of the pieces of sand [that are near the sea]. You(Jacob) will not be able [to count your(Jacob's) descendants]"".	Genesis
Matthew 6:10	(complex) We(people) pray-hope [your(Father’s) kingdom-B come]. (simple) We(people) pray-hope [you(Father) rule us(people)]. We(people) pray-hope [the things [that you(Father) want [to happen]] be done by people _implicitActiveAgent also on earth] [just-like the things [that you(Father) want [to happen]] happen in heaven] .	Matthew
Esther 2:19	One day the king's servants called all the women [that did not sex a man]. At that time Mordecai was sitting near the palace's gate.	Esther
Matthew 16:10	(norhetorical) And do you(followers) remember the 7 pieces/loaves of bread _implicit [that were given by me(Jesus) _implicitActiveAgent to 4000 people]? (statement) You(followers) should remember the 7 pieces/loaves of bread _implicit [that were given by me(Jesus) _implicitActiveAgent to 4000 people]. (norhetorical) And do you(followers) remember the number of baskets [that you(followers) filled with bread _implicit [that (implicit-situational) people did not eat]] ? (statement) And you(followers) should remember the number of baskets [that you(followers) filled with bread _implicit [that (implicit-situational) people did not eat]].	Matthew
Acts 21:15	Then we(disciples) prepared [to travel to Jerusalem].	Acts
Matthew 23:13	(title) Jesus tells the people [who teach the religious laws] and the Pharisees 7 times [that those people _DifferentNounIndex will much suffer]. _paragraph People [who teach the religious laws] and Pharisees, people [who pretend [to be good/righteous]], you(scribes) will much suffer! (complex) (literal) You(scribes) close the door of the kingdom-B of heaven in front of people _generic. (complex) (dynamic) The things [that you(scribes) teach to people _genericImplicit] prevent [people from entering the kingdom-B of heaven] [just-like a person prevents [another person from entering a room [by closing the door]]]. (simple) (literal) You(scribes) close the door [so that people are not able [to become God's children]]. (simple) (dynamic) The things [that you(scribes) teach to people _genericImplicit] prevent [people from being ruled by God] [just-like a person prevents [another person from entering a room [by closing the door]]]. (complex) You(scribes) do not enter the kingdom-B of heaven. (simple) You(scribes) do not let [God rule you(scribes)]. (complex) And you(scribes) do not let [the people [who are trying [to enter the kingdom-B of heaven _implicit]] enter the kingdom-B of heaven _implicit]. (simple) And you(scribes) do not let [the people [who try [to be ruled by God]] be ruled by God].	Matthew
Genesis 1:25	God created all the wild animals, all the livestock and all the small animals.  Each animal was able to birth children.  Parents and children were always the same kind of animal.  God saw all these animals. And these animals were good.	Genesis
Mark 14:28	But [after I(Jesus) become alive again,] I(Jesus) will go to Galilee [before you(followers) go to Galilee]. (implicit-situational) And you(followers) will see me(Jesus) at that place again."	Mark
Joshua 15:1	(title) Joshua gives land to the tribe named Judah. The leaders of the tribe named Judah divided the land [that Joshua gave to that tribe]. Those leaders gave land to each group of families. That land included desert-Zin [which was in the southern region].  desert-Zin was near the border of Edom.	Joshua
2 Samuel 7:23	We(Israelites)  are your(Yahweh’s) people. And you(Yahweh) treat us(Israelites) more kindly [than all of the other countries [that are on the earth]]. We(Israelites) are the only people [that you(Yahweh) chose [in order to become your(Yahweh’s) people]]. You(Yahweh) (implicit-info) did not choose other people. You(Yahweh) treat us(Israelites) kindly [so that other people could know your(Yahweh's) name]. And you(Yahweh) did great miracles for us(Israelites). [When we(Israelites) came to this land] you(Yahweh) went in front of us(Israelites). And you(Yahweh) forced [the other nations to leave this land]. You(Yahweh) also forced [those nations' gods to leave this land]. And you(Yahweh) saved/rescued us(Israelites) [when we(Yahweh) were slaves in Egypt].	2_Samuel
Mark 14:29	(paragraph) But Peter said to Jesus, ["[Even-if all of these other _implicit followers/disciples leave/abandon you(Jesus),] I(Peter) will never leave/abandon you(Jesus)"].	Mark
Nehemiah 11:6	468 brave men [who were people/descendants of Perez] lived in Jerusalem.	Nehemiah
Genesis 48:15	Then Jacob blessed Joseph. Jacob said, ["My(Jacob's) ancestors named Abraham and named Isaac served our(Jacob's) God.] [While I(Jacob) lived] God led me(Jacob) [just-like a shepherd leads sheep].	Genesis
Genesis 29:12	Jacob told Rachel [that Jacob was a relative of Rachel's father] [and that Jacob was the son of Rebekah]. So Rachel ran to Rachel's house. and Rachel told Rachel's father about Jacob.	Genesis
1 Samuel 4:2	[After the Philistines and the Israelites started fighting] the Philistines killed about 4000 Israelite soldiers. So the Philistines defeated the Israelites.	1_Samuel
Genesis 30:43	Thus Jacob became very rich. Jacob had many sheep, many goats, male servants, female servants, camels, and donkeys.	Genesis
Nahum 2:12	The lion killed many animals [so that the lion's children could eat those animals]. And the lion killed many animals [in order to feed the lion's female lion]. The lion filled the lion's house with the animals [that the lion killed]. The lion brought the animals [that the lion caught] to the lion's house.	Nahum
