reference	verse	book
2 Samuel 14:13	Then that woman said, ["You(David) are the king]. Why did you(David) do things [that cause [God's people to be sad]]? You(David) sinned against God's people. [When you(David) say those words] you(David) prove [that you(David) are guilty]. You(David) caused [your(David's) son to leave].  And now you(David) will not let [your(David's) son return].	2_Samuel
Mark 10:36	(paragraph) And Jesus asked James and John, ["What do you(James) _dual want [me(Jesus) to do for you(James) _dual]?"]	Mark
Genesis 35:7	Jacob built an altar in Luz. and Jacob named that place Bethel [because God appeared to Jacob at that place [while Jacob was running away from Jacob's brother]]. -footnote Bethel means the house of God.	Genesis
Genesis 44:5	This cup is not the cup [that my(servant's) master drinks wine from] [and my(servant's) master uses [in order to understand dreams]]? This cup is the cup [that my(servant's) master drinks wine from] [and my(servant's) master uses [in order to understand dreams]]. You(brothers) did a wicked thing.""	Genesis
Genesis 47:28	Jacob lived in Egypt for 17 years. Therefore Jacob lived for 147 years.	Genesis
Mark 6:15	(paragraph) Other people said, ["This man is Elijah"]. (paragraph) And other people said, ["This man is a prophet [that is like one of the prophets [(implicit-situational) who lived-B many years ago] of God _implicit]"].	Mark
Genesis 44:15	Joseph said to the brothers, ["Why did you(brothers) steal my(Joseph's) cup?] Did you(brothers) not know [that I(Joseph) am able [to find out [that people did certain things] [by using signs and dreams]]]?"	Genesis
Nehemiah 7:21	98 men [that were from Ater] returned. (These men were descendants of Hezekiah.)	Nehemiah
Joshua 13:13	But the Israelites did not force [the people of Geshur and the people of Maacah to leave]. So those people continue living among the Israelites today.	Joshua
Genesis 11:17	Eber lived for 430 years [after Peleg was born]. and Eber had other children.	Genesis
Daniel 3:29	So I(Nebuchadnezzar) order [all people to do all the things [that my(Nebuchadnezzar's) new command says]]. People must not say bad things about the God of Shadrach, Meshach, and Abednego. My(Nebuchadnezzar's) servants will kill all people [who do not do all the things [that this command says]]. My(Nebuchadnezzar's) servants will also destroy the houses of the people [who do not do all the things [that this command says]]. No god is able [to save people [like God saves people]]."	Daniel
Genesis 35:12	I(God) will give the same land [that I(God) gave to Abraham and to Isaac] to you(Israel) and to your(Israel's) descendants."	Genesis
Genesis 25:11	[After Abraham died] God blessed the son of Abraham named Isaac. Isaac was living near Beer-Lahai-Roi.	Genesis
Genesis 11:29	Abram married a woman named Sarai. And Nahor married a woman named Milcah. Milcah was the daughter of Haran. Haran had another daughter named Iscah.	Genesis
Daniel 7:4	The first animal looked like a lion. But that animal had wings [like an eagle has wings]. [While I(Daniel) watched this animal] a person pulled off the wings from this lion. Then the person lifted the lion. And the lion stood on two feet [like a man stands on two feet]. Then that person caused [the lion to think [like a man thinks]].	Daniel
2 Samuel 17:9	Your(Absalom's) father is probably hiding in a cave. [If your(Absalom's) father attacks your(Absalom's) soldiers] people will hear about that battle. And those people will say, ["David's soldiers killed many of Absalom's soldiers"].	2_Samuel
Nehemiah 12:33	The following men also followed Hoshaiah and those leaders. Azariah, Ezra, Meshullam,	Nehemiah
Matthew 17:12	But I(Jesus) tell you(followers) [Elijah has already come]. And people did not realize the person [who Elijah was]. Instead, people did all the evil _implicit things [that those people wanted [to do to Elijah]]. Similarly, the Son-of-Man _1stAs3rd will suffer [because those people will treat the Son-of-Man _1stAs3rd cruelly]."	Matthew
2 Samuel 19:10	And we(people) chose/appointed/anointed Absalom [to rule us(people)]. But Absalom died in a battle. So we(people) should ask[David to become our(people's) king again]."	2_Samuel
2 Samuel 3:13	Then David said to those messengers, ["I(David) will make a promise/covenant to you(Abner)].  But I(David) want [you(Abner) to do a certain thing for me(David)]. You(Abner) (imp) bring Saul's daughter named Michal to me(David).  You(Abner) (imp) do not  come to me(David) [unless you(Abner) bring Michal]."	2_Samuel
