reference	verse	book
Matthew 16:18	And I(Jesus) tell you(Simon) [you(Simon) are Peter]. And on this rock I(Jesus) will build my(Jesus's) church-A. (literal) And the gates of hell-B will not defeat-A that church-A. (dynamic) And the power of Satan will not defeat-A that church-A. (footnote) The Greek word named Peter means rock. The rock [that Jesus is talking about] means Peter, Jesus, or the words [that Peter said about Jesus].	Matthew
1 Samuel 12:20	Then Samuel said, ["You(Israelites) (imp) do not be afraid]. You(Israelites) did evil things. But you(Israelites) (imp) continue obeying Yahweh. And you(Israelites) (imp) serve Yahweh with all of your(Israelites’) heart.	1_Samuel
Joshua 11:9	Joshua obeyed Yahweh. Joshua cut the muscles of the legs of those kings' horses. And Joshua burned the chariots of those kings.	Joshua
1 Samuel 1:17	Then Eli said, ["I(Eli) hope [that you(Hannah) have peace]]. And I(Eli) hope [that the God of Israel will give to you(Hannah) the things [that you(Hannah) asked God for]]."	1_Samuel
Matthew 26:3	_paragraph Then the chief _adj priests and the old leaders of the people meet-C in the chiefest priest's house/palace. That chiefest priest was named Caiaphas.	Matthew
Nehemiah 10:34	We(people) are the priests, the people [who are in the tribe named Levi], and the people of Israel. And we(people) used lots [in order to learn/determine the time [when each family should bring wood to the house of God]].  God's Law says [that each family must bring wood to the house of God at a certain time in each year]. The priests will burn that wood on the structure/altar of Yahweh [who is our(people's) God]. We(people) will do these things [just like the religious laws say [that we(people) must do these things]].	Nehemiah
Genesis 5:20	Therefore Jared lived for 962 years.  Then Jared died.	Genesis
Joshua 21:10	( The Israelites first gave towns to the families [that were Aaron's descendants] [and that were Kohath's descendants]. [When the Israelites used the lots] the lots chose those families first. )	Joshua
Joshua 22:22	Those people said, ["Yahweh is our(people's) God!] Yahweh is very powerful! We(people) say again [that Yahweh is our(people's) God]! God knows the reason [that we(people) built this altar]. And we(people) want [you(Israelites) to know the reason]. [If you(Israelites) think [that we(people) did not obey God]] you(Israelites) may kill us(people) today.	Joshua
2 Samuel 20:18	That woman said, ["People often came to this city a long time ago]. Those people said, ["The people [that live in Abel-Beth-Maakah] will answer your(people's)  important questions]." And all of the people agreed with the answers.	2_Samuel
Mark 6:7	Jesus called-A the 12 disciples _implicitNecessary to Jesus _implicit . Jesus divided those followers/disciples into groups of 2 followers/disciples. And Jesus started sending those groups of 2 followers/disciples to other places [ (implicit-situational) so that those groups of 2 followers/disciples would teach God's message to people]. Jesus gave authority to those followers/disciples [so that those followers/disciples could command unclean-B spirits [(implicit-situational) to leave people]].	Mark
Matthew 5:39	But I(Jesus) tell you(person) [not to oppose an evil person]. [If a person hits your(person's) right cheek,] you(person) (imp) turn your(person’s) left cheek toward that person [(implicit-situational) so that that person could hit that cheek also].	Matthew
1 Samuel 15:6	Then Saul said to the Kenites [who were living near the Amalekites], ["You(Kenites) (imp) leave this place now]. I(Saul) will destroy the Amalekites. But I(Saul) do not want [to destroy you(Kenites)]. You(Kenites) were kind to the Israelites [when the Israelites left Egypt]." So the Kenites left that place.	1_Samuel
Matthew 13:32	That seed is smaller than all _hyperbolic other seeds. But [after that seed is planted by a person _implicitActiveAgent,] that seed grows. And that seed becomes a plant [that is bigger than all _hyperbolic other plants [that grow in a garden]]. That plant becomes a tree. So birds are able [to rest on that tree's branches]."	Matthew
Nahum 3:10	But soldiers [that came from Assyria] captured the people [who lived in Thebes]. Those soldiers made [those people become slaves]. And those soldiers take-away those people from Thebes.  Those soldiers also killed all of the babies [that were in Thebes]. Those soldiers used lots [in order to choose slaves from the leaders of Thebes]. Then those soldiers tied the leaders with chains. And those leaders became slaves.	Nahum
Acts 3:1	Peter (title) helps a man [who is not able [to walk]]. One day Peter and John were walking to the building [where people meet with God [in-order-to pray]]. Every day people walked to that building at 3PM [in-order-to pray].	Acts
Joshua 4:3	And (imp) you(Joshua) tell [each man to get a large stone from the middle of the river]. Those men should get a stone [that is near the place [where the priests stood]]. Those men should carry the stones to the place [where you(people) will stay tonight]."	Joshua
Mark 4:19	But those people worry about those people's lives. (literal) Those people are deceived by wealth. (dynamic) Those people are deceived by the idea [that more wealth will cause [those people to become happy]]. And those people want/desire many _implicit other things. (literal) And the things [that those people worry about] and the things [that those people want/desire] surround the message of God _implicit [so that the message is not able [to become strong]]. (dynamic) And the things [that those people worry about] and the things [that those people want/desire] surround the message of God _implicit [so that those people do not believe in the message]. (literal) Then the message does not produce fruit. (dynamic) Then the message does not change those people [so that those people do the things [that God wants [those people to do]]].	Mark
1 Samuel 2:17	Yahweh saw [Eli’s sons sinning much].  Eli’s sons did not respect the offerings [that people gave to Yahweh].	1_Samuel
Acts 19:37	You(Ephesians) should not have brought these two men to this place, [because these two men have not done a bad thing. These two men did not steal a thing from the temple. And these two men did not say bad things about our(Ephesians) god.	Acts
2 Samuel 5:19	Then David asked Yahweh, ["Should I(David) attack the Philistines]? Will you(Yahweh) help [me(David) defeat the Philistines]?"Yahweh said to David, ["(imp) You(David) fight the Philistines]. I(Yahweh) will certainly help [you(David) defeat the Philistines]."	2_Samuel
Joshua 24:18	And Yahweh helped [us(Israelites) defeat all of the nations [who were living in this country]]. And Yahweh helped [us(Israelites) defeat the Amorites [who were living in this country]]. Therefore we(people) will continue serving Yahweh [because Yahweh is our(Israelites') God]."	Joshua
