reference	verse	book
1 Samuel 17:27	Then those men told David [that the king will give much money to the man [who will kill Goliath]]. And those men told David about all of the other things [that King Saul will do for the man [who will kill Goliath]].	1_Samuel
Genesis 2:25	At that time the man and the man's wife were naked. But these 2 people were not ashamed.	Genesis
Daniel 1:19	The king spoke to the young men. The king discovered [that Daniel, Hananiah, Mishael, and Azariah were wiser than all of the other young men]. So these four men began to serve the king.	Daniel
Matthew 12:10	And a man [who had a sick/shriveled hand] was there. The Pharisees [who (implicit-situational) were there] were trying [to say/accuse about Jesus [Jesus was doing bad _morally things]]. So those Pharisees asked Jesus, ["Does the religious laws allow [people to heal people _implicit _otherThingList on the Sabbath]?"]	Matthew
Esther 4:2	The king's guards did not allow [people [that were wearing clothes [that were made of sackcloth]] to enter the king's palace]. So Mordecai stood at the gate of the king's palace.	Esther
Joshua 15:41	And the tribe named Judah owned the towns named Gederoth, Beth-Dagon, Naamah, and Makkedah. Therefore the tribe named Judah owned 16 towns [that were in that region].  And the tribe named Judah also owned the fields [that were near those towns].	Joshua
Genesis 21:26	But Abimelech said, ["I(Abimelech) did not know [that my(Abimelech's) servants prevented [you(Abraham) use that well]]]. You(Abraham) did not tell me(Abimelech) about this problem."	Genesis
Genesis 13:15	I(Yahweh) will give all these places to you(Abram) and to your(Abram's) descendants.  These places will belong to you(Abram) and your(Abram's) descendants forever. I(Yahweh) will give to you(Abram) all the places [that you(Abram) are able [to see]].	Genesis
Genesis 9:15	[When I(God) see that rainbow] I(God) will remember my(God’s) covenant [that I(God) made with you(Noah) and all things [that live on the earth]]. I(God) will never again destroy with a flood all things [that live on the earth].	Genesis
1 Samuel 30:10	200 of the men stayed at that place [because those men were very tired]. Those men were not able [to cross the valley]. So David and the other 400 men continued chasing the Amalekites.	1_Samuel
1 Samuel 13:21	The Israelites paid the Philistines about 8 grams of silver [when the Philistines made [the Israelites' plows become sharp]].  And the Israelites paid the Philistines about 4 grams of silver [when the Philistines made [the Israelites' forks, axes, and goads become sharp]].	1_Samuel
1 Samuel 22:19	Doeg also killed all of the people [who were living in Nob]. Nob was the town [that the priests lived in]. Doeg killed the men, the women, the children, and the babies with a sword. And Doeg also killed the cows, the donkeys, and the sheep.	1_Samuel
Jonah 2:9	But I(Jonah) will give a gift/sacrifice to you(Yahweh). I(Jonah) will praise you(Yahweh) with a loud voice.  I(Jonah) will keep the promise [that I(Jonah) made to you(Yahweh)]. I(Jonah) will say, ["Yahweh, you(Yahweh) are the God [who saves people]]."	Jonah
Joshua 3:12	There are 12 tribes in Israel. You(people) (imp) choose 12 men from the tribes of Israel. You(people) (imp) choose 1 man from each tribe [that is in Israel].	Joshua
Daniel 5:23	You(Belshazzar) think [that you(Belshazzar) are more important than God [who lives in heaven]]. You(Belshazzar) demanded [that your(Belshazzar's) servants bring the cups from the temple of God to you(Belshazzar)]. And you(Belshazzar), your(Belshazzar's) wives, the other women [that you(Belshazzar) love], and the important people [that live in your(Belshazzar's) kingdom] drank wine from these cups. Then you(Belshazzar) honored the gods [that other people made]. Those gods were made of gold, silver, bronze, iron, wood, and stone. Those gods are not able [to see things]. And those gods are not able [to hear things]. And those gods are not able [to understand things]. But you(Belshazzar) honored those gods. And you(Belshazzar) did not honor the true God. God controls your(Belshazzar's) life. God rules you(Belshazzar).	Daniel
