reference	verse	book
Matthew 15:6	So that person will not honor that person's father or that person's mother [by giving those things to that father or that mother]. Thus you(Pharisees) ignore God's command [by obeying your(Pharisees's) religious _implicit customs/traditions].	Matthew
Daniel 6:14	[When the king heard [that Daniel broke the law]] the king became very sad. The king wanted [to help Daniel]. The king wanted [to change the new law]. The king did not want [Daniel to be punished by people [because Daniel prayed to God]]. All day the king worked [in order to help Daniel].	Daniel
2 Samuel 10:6	Then the Ammonites realized [that David was angry at the Ammonites]. So the Ammonites paid money to 20000 Aramean soldiers[so that those soldiers would help [the Ammonites fight David]]. Those soldiers came from Beth-Rehob and Zobah. The Ammonites also paid money to 1000 soldiers [that came from Maakah]. And the Ammonites paid money to 12000 soldiers [that came from Tob].	2_Samuel
Genesis 43:24	Then that servant led the men into Joseph's house. and the servant gave water to the brothers [so that the brothers could wash the brothers' feet]. Then the servant gave food to the brothers' donkeys.	Genesis
Matthew 9:35	(title) Jesus says [there are not many people [who do the work of God]]. _paragraph Jesus was traveling through all _hyperbolic the towns [that were in that area/region] and all _hyperbolic the villages [that were in that area/region _implicit]. And Jesus was teaching in the synagogues of the people. (complex) Jesus was teaching/preach the Good-News of the kingdom-B. (simple) Jesus was teaching/preach the Good-News [that is about God [ruling people]]. And Jesus was also healing people [who had all kinds of diseases] .	Matthew
Matthew 19:19	You(man) (imp) honor your(person's) father and your(person's) mother. (literal) And you(man) (imp) love your(man's) neighbor [just-like you(man) love yourself(man)]. (dynamic) And you(man) (imp) love other people [just-like you(man) love yourself(man)]."" (footnote) You(people) (imp) see Exodus 20:12-16, Deuteronomy 5:16-20 and Leviticus 19:18.	Matthew
1 Samuel 18:24	Then Saul’s servants told Saul about the things [that David said].	1_Samuel
Nehemiah 10:3	Pashhur, Amariah, Malkijah,	Nehemiah
1 Samuel 3:1	(title) God calls Samuel. At that time Samuel was serving Yahweh. And Eli was taking care of Samuel. In those days Yahweh did not often speak to people. And people did not often see visions.	1_Samuel
1 Samuel 17:52	Then the Israelites shouted. And the Israelites started chasing the Philistines. The Israelites chased the Philistines to the gate of Gath and to the gates of Ekron. The Israelites killed many Philistines. The Philistines' bodies were lying on the road [that went to Gath and to Ekron]. People called that road Shaaraim.	1_Samuel
Acts 18:19	Then Paul, Priscilla, and Aquila arrived at the city named Ephesus. At that place, Paul left Priscilla and Aquila. And Paul went to the Jewish Church, [so that Paul could discuss many things with the Jews].	Acts
Nehemiah 3:22	The priests [that came from the region [that surrounded Jerusalem]] repaired the next part of the wall.	Nehemiah
Daniel 8:26	Now you(Daniel) know the meaning of the vision [that is about evenings and mornings]. I(Gabriel) have told you(Daniel) about the meaning of the vision [that you(Daniel) saw]. And this vision is true. But you(Daniel) (imp) do not tell other people about this vision. The events [that you(Daniel) saw in this vision] will happen after many years."	Daniel
Genesis 29:34	Later Leah became pregnant again. and Leah birthed another son. Leah named this son Levi. Leah said, ["My(Leah's) husband will stay near me(Leah) now [because I(Leah) gave 3 sons to my(Leah's) husband]]". -Footnote Levi means near.	Genesis
Acts 15:5	Some of the people who believed in Jesus [and who lived in Jerusalem] were Pharisees. These people stood up and said, ["The leaders must cut off the foreskin of all the people [who believe in Jesus] [and who are not Jews]. We(people) must tell [those people [who believe in Jesus] [and who are not Jews] to obey the law of Moses]!"]	Acts
Ruth 1:9	I(Naomi) hope [that Yahweh will give peace to you(daughters in law) [by giving new husbands to you(daughters in law)]]." Then Naomi kissed Naomi's daughters in law. Then the daughters in law cried loudly.	Ruth
Genesis 35:20	Jacob put a big stone on Rachel's grave [in-order-to honor Rachel]. That stone is still on Rachel's grave.	Genesis
Joshua 23:12	(imp) You(Israelites) continue obeying Yahweh. And (imp) You(Israelites') do not make treaties with these people [who are not Israelites]. And (imp) You(Israelites) do not marry these people. And (imp) You(Israelites) do not work with these people.	Joshua
Matthew 25:27	Then-D you(servant) should have taken my(master's) money to the people [who work at the bank]. [If you(servant) had taken my(master's) money to the bank,] I(master) would now receive that money and more money [that the bank would owe to me(master)]."	Matthew
Mark 14:35	(paragraph) Then Jesus went a short distance from those followers/disciples _implicit. And Jesus lied on the ground. Jesus prayed [[if the events [(implicit-situational) that will cause [Jesus to suffer]] do not need [events to happen to Jesus]], those events [(implicit-situational) that will cause [Jesus to suffer]] will not happen to Jesus].	Mark
