reference	verse	book
Nahum 3:19	No doctor is able [to heal your(king's) wounds]. Your(king's) wounds will cause [you(king) to die]. [When people hear [that you(king) will die],] those people will become happy. Those people will celebrate [because you(king) are dead]. All people suffered [because you(king) treated those people very badly].	Nahum
Matthew 19:24	I(Jesus) am telling you(followers) again. [A big animal/camel goes through the hole of a needle] is very hard-B. (complex) But [a rich person enters the kingdom-B of God] is extremely hard-B. (simple) But [a rich person lets [God rule that person]] is extremely hard-B."	Matthew
Nehemiah 13:13	I(Nehemiah) told Shelemiah, Zadok, and Pedaiah [to take care of those rooms]. Shelemiah was the priest.  And Zadok knew well the religious law/Scribe.  And Pedaiah was in the tribe named Levi. And I(Nehemiah) told [Hanan to help those men]. Hanan was the son of Zakkur [who was the son of Mattaniah].  I(Nehemiah) chose those men [because the people trusted those men]. Those men gave the things [that were in those rooms] to the other people [that were in the tribe named Levi].	Nehemiah
Mark 5:33	Then the woman became afraid. And the woman started shaking . For the woman knew the thing [that happened to the woman] . The woman came to Jesus _implicit. And the woman bowed in-front-of Jesus. And the woman honestly _adverbialFormOfHonestInLdv told-D Jesus about the things [that that woman did]. (implicit-situational) The woman admitted/confess [ the woman touched Jesus's clothes].	Mark
Acts 15:30	So the people [who believe in Jesus] [and who live in Jerusalem] sent Barnabas and Paul and Judas and Silas to Antioch. [When Paul and Barnabas and Judas and Silas arrived in Antioch], Barnabas and Paul and Judas and Silas gathered the people [who believe in Jesus]. Then Barnabas, Paul, Judas, and Silas gave the letter to the people [who believe in Jesus].	Acts
Joshua 13:29	Moses also gave land to certain families [that were in the tribe named Manasseh]. Half of the families [that were in the tribe named Manasseh] lived on the eastern side of the Jordan River. And the other families lived on the western side of the Jordan River.  So Moses gave land to the families [that lived on the eastern side of the Jordan River].	Joshua
1 Samuel 1:25	Then Hannah gave the bull to the priests.  And the priests killed/sacrificed the bull to Yahweh. Then Hannah took Samuel to Eli.	1_Samuel
Mark 14:64	You(leaders) heard [Jesus _implicitNecessary much insult the Lord-A [(implicit-situational) by saying [Jesus was equal to the Lord]]]. What do you(leaders) think-A?" (paragraph) And all of those leaders agreed [that Jesus was guilty] [and that Jesus deserved [Jesus to die]].	Mark
Acts 15:4	[When Paul and Barnabas and the other people [whom the group of people [who believe in Jesus] had sent with Paul and Barnabas] arrived in Jerusalem], the apostles and elders and all the other people [who were in the group of people [who believe in Jesus]] welcomed Paul and Barnabas and the other people [whom the group of people [who believe in Jesus] had sent with Paul and Barnabas]. Then Paul, Barnabas and the other people [whom the group of people [who believe in Jesus] had sent with Paul and Barnabas] told the group of people [who believe in Jesus] about all the things [that God had done]. Paul said [that God had given the power to Paul and Barnabas and the other people [whom the group of people [who believe in Jesus] had sent with Paul and Barnabas] to do many things.	Acts
Matthew 24:26	_paragraph So [if people tell you(followers), ["The Christ is in the desert/wilderness"],] you(followers) (imp) do not go there _implicit. Or [if people tell you(followers), ["The Christ is in the secret room"],] you(followers) (imp) do not believe that thing-C _implicit.	Matthew
