reference	verse	book
Mark 2:8	(paragraph) (literal) Immediately Jesus knew in Jesus's spirit [those people/scribes were thinking about those things in those people's/scribes's hearts]. (dynamic) Immediately Jesus realized [those people/scribes were thinking about those things]. So Jesus said to those people/scribes , ["Why (rhetorical) are you(people) thinking about those things in your(scribes's) minds/hearts?] ["You(people) (statement) should not think those things in your(scribes's) minds/hearts].	Mark
Esther 9:17	On March 8 those Jews rested. That day those Jews had feasts. And those Jews celebrated.	Esther
Daniel 5:15	I(king) told [the wise men and the enchanters to read these words]. I(king) asked [these wise men to tell me(king) about the meaning of this message]. But these men were not able [to explain the message to me(king)].	Daniel
Joshua 17:2	The other families [that were in the tribe named Manasseh] also received land. Men named Abiezer, Helek, Asriel, Shechem, Hepher, and Shemida were the leaders of those families. Those men were also descendants of Manasseh [who was the son of Joseph].	Joshua
Esther 5:13	But I(Haman) am not happy [because Mordecai does not honor me(Haman)]. [When I(Haman) see [Mordecai [who is a Jew] sitting at the gate]] I(Haman) become very angry."	Esther
1 Samuel 25:29	[Although a man is chasing you(David) [in order to kill you(David)]]  Yahweh will protect you(David).  Yahweh is your(David's) God.  And Yahweh will cause [you(David) to continue living]. But Yahweh will throw-away the lives of your(David's) enemies [just-like a man throw-away a stone].	1_Samuel
Joshua 6:15	On the seventh day the Israelites woke-up [when the sun rose]. Then the Israelites walked/marched around the city -iteration seven times. The Israelites walked/marched [just-like the Israelites walked/marched on the other days]. But on the seventh day the Israelites walked around the city -iteration seven times.	Joshua
Nehemiah 4:23	I(Nehemiah), my(Nehemiah’s) friends, the people [that worked with us(Nehemiah)], and the people [that guarded us(Nehemiah)] always wore our(Nehemiah’s) clothes. And we(Nehemiah) always carried our(Nehemiah’s) weapons. We(Nehemiah) carried our(Nehemiah’s) weapons [while we(Nehemiah) were bringing water].	Nehemiah
Mark 14:20	But Jesus _paragraph said to those followers/disciples, ["That follower/disciple [who (implicit-situational) will give me(Jesus) to my(Jesus's) enemies] is one of these 12 followers/disciple]. That follower/disciples is dipping bread _implicit into the bowl _frameInferable with me(Jesus).	Mark
Ruth 4:18	These people are the descendants of Perez. Perez had a son named Hezron.	Ruth
