reference	verse	book
Genesis 39:5	[While Joseph was the leader of all the people [who worked in Potiphar's house]] [and while Joseph was taking care of all the things [that Potiphar owned]] Yahweh blessed the people [who were in Potiphar's house] because of Joseph. Yahweh blessed all the things [that were in Potiphar's house and  in Potiphar's fields].	Genesis
2 Samuel 3:36	All of those people heard [David make that promise]. And that promise pleased those people. All of the things [that David did] pleased those people.	2_Samuel
2 Samuel 22:18	Yahweh saved/rescued me(David) from my(David's) powerful enemy.Yahweh saved/rescued me(David) from the people [who fight me(David)].  Those people were too strong. I(David) (implicit-info) was not able [to defeat those people].	2_Samuel
Acts 18:5	[When Silas and Timothy arrived at that place from the nation named Macedonia,] Paul preached [about Jesus] all the time. So Paul told those people [that Jesus is the Christ].	Acts
Nehemiah 9:17	Our(Nehemiah’s) ancestors refused [to listen to you(Yahweh)]. And our(Nehemiah’s) ancestors forgot all of the things [that only you(Yahweh) are able [to do]] [that you(Yahweh) did for our(Nehemiah’s) ancestors]. Our(Nehemiah’s) ancestors chose [to do things [that you(Yahweh) told [those people not to do]]]. Our(Nehemiah’s) ancestors refused [to continue obeying you(Yahweh)]. Our(Nehemiah’s) ancestors chose a leader [to take our(Nehemiah’s) ancestors to Egypt [so that our(Nehemiah’s) ancestors could become slaves again]]. But you(Yahweh) forgive people often. You(Yahweh) are kind and merciful. You(Yahweh) do not quickly become angry. And you(Yahweh) love your(people’s) much. So you(Yahweh) did not leave/abandon your(Yahweh’s) people.	Nehemiah
Genesis 31:21	So Jacob and Jacob's family left quickly. Jacob traveled across the Euphrates. Then Jacob traveled toward the mountains [that are in Gilead].	Genesis
Nahum 2:2	The people [who live in Assyria] took all of the valuable things from Yahweh’s people. Those people's army destroyed the people's vines. But Yahweh will cause [Israel and Jacob to become great again].	Nahum
2 Samuel 5:13	At that time (implicit-info) important people often had many wives.  [After David left Hebron] David married other women in Jerusalem. And David also had slaves [that David sexed]. Those women birthed more sons and daughters for David in Jerusalem.	2_Samuel
Matthew 23:39	(literal) For I(Jesus) tell you(Jerusalem) [that you(Jerusalem) will not see me(Jesus) again [until you(Jerusalem) say again _implicit, ["God _implicitNecessary does _implicitNecessary good things for the person [who comes in-H the name of the Lord]]]"]. (dynamic) For I(Jesus) tell you(Jerusalem) [that you(Jerusalem) will not see me(Jesus) again [until you(Jerusalem) say again _implicit, ["God _implicitNecessary does _implicitNecessary good things for the person [who comes with God's authority]]]"]". (footnote) You(people) (imp) see Psalms 118:26 and Matthew 21:9.	Matthew
Genesis 7:16	For all kinds of animals one male animal and one female animal  entered the boat [just-like God promised Noah].  Then God closed the door of the boat.	Genesis
2 Samuel 18:10	One of David’s soldiers saw [Absalom hanging in that tree]. So that soldier said to Joab, ["I(soldier) saw [Absalom hanging in an oak tree].]"	2_Samuel
Mark 16:7	So you(women) (imp) go. And you(women) (imp) tell Jesus's disciples and Peter, ["Jesus is going to Galilee in front of you(disciples)]. You(disciples) will see Jesus at that place [just-like Jesus told you(disciples) [you(disciples) will see Jesus]].""	Mark
Nehemiah 4:14	[After I(Nehemiah) looked at all of the parts of the wall], I(Nehemiah) stand-up in front of the people. And I(Nehemiah) said to the leaders, the officials, and all of the other people, ["You(people) (imp) do not be afraid of our(Nehemiah's) enemies]. You(people) (imp) remember [that Yahweh is great and powerful]. You(people) (imp) fight for your(people's) families, for your(people's) sons, for your(people's) daughters, for your(people's) wives, and for your(people's) houses."	Nehemiah
2 Samuel 13:24	Then Absalom went to David. And Absalom said to David, ["I(Absalom) will pay certain men [in order to cut the fur from my(Absalom's) sheep]].  Will you(David) and your(David's) servants please come to my(Absalom's) feast?"	2_Samuel
Joshua 22:26	So we(people) decided [to build this altar]. But we(people) did not build this altar [to burn sacrifices on this altar]. And we(people) will not give/sacrifice offerings to Yahweh on this altar.	Joshua
1 Samuel 28:1	(title) Saul talks to a woman/witch at Endor.  The Philistines started preparing [in order to fight the Israelites]. At that time Achish said to David, ["[When we(Philistines) attack Israel] you(David) and your(David's) soldiers will join me(Achish) in the army.]"	1_Samuel
Genesis 24:4	You(servant) (imp) return to the country [where my(Abraham's) relatives live]. then you(servant) search for the wife of the son of me(Abraham) in that place."	Genesis
Genesis 45:5	But you(brothers) (imp) do not be afraid.  And You(brothers) (imp) do not be angry with yourselves(brothers) [because you(brothers) sold me(Joseph)]. God sent me(Joseph) to this place [in-order-to save people].	Genesis
Joshua 7:14	In the morning all of you(people) must stand in-front-of Yahweh. All of the tribes will stand in-front-of Yahweh. Then Yahweh will choose one tribe. Then that tribe must stand in-front-of Yahweh. Then Yahweh will choose one group of families from that tribe. Then that group must stand in-front-of Yahweh. Then Yahweh will choose one family from that group. Then that family must stand in-front-of Yahweh. And Yahweh will look at each man [that is in that family].	Joshua
Mark 6:53	(paragraph) [After Jesus and Jesus's followers/disciples went across the lake _implicitNecessary,] Jesus and those followers/disciples came to the shore at Gennesaret named the region _implicitType. And Jesus and those followers/disciples tied the boat at that place.	Mark
Acts 15:12	Then all those people stopped talking. And all those people listened to Paul and Barnabas. Paul and Barnabas told those people [that God helped [Paul and Barnabas do things [while Paul and Barnabas were with those people [who are not Jews]]]].	Acts
Acts 17:22	Then Paul stood among those people [who were at the place named Areopagus]. And Paul said, ["People [who are from Athens!]" I(Paul) know that you(Athenians) really worship many gods.	Acts
Esther 8:4	So the king raised the king's gold scepter for Esther. Then Esther stood up. and Esther stood in front of the king.	Esther
Nehemiah 13:18	Did your(rulers’) ancestors not do the same thing? Your(rulers') ancestors did the same thing. So God caused [us(people) and our(people's) city to have much trouble]. Now you(rulers) are causing [God to become more angry with us(people) again] [by not honoring the seventh day of the week]."	Nehemiah
Ruth 3:4	[When Boaz lies down] you(Ruth) (imp) watch Boaz carefully [so that you(Ruth) could see the place [that Boaz is lying at]]. Later you(Ruth) (imp) go to Boaz. And you(Ruth) (imp) lift the blanket [that is on Boaz's feet].  Then you(Ruth) (imp) lie down.  Boaz (implicit-info) will know [that you(Ruth) want [Boaz to take care of you(Ruth)]].  Then Boaz will tell [you(Ruth) to do certain things]."	Ruth
1 Samuel 18:15	[When Saul saw [that David did things very well]] Saul became more afraid of David.	1_Samuel
Genesis 10:18	Canaan was also the ancestor of the Arvadite, Zemarite, and Hamathite. The descendants of Canaan moved to many different places.	Genesis
Matthew 21:46	Those chief priests and those Pharisees wanted [to take-away/arrest Jesus]. But those chief priests and those Pharisees were afraid of the crowd [because the people _frameInferable thought [Jesus was a prophet]].	Matthew
Acts 16:38	So the soldiers returned to the officials.  And the soldiers told the officials about the message [that Paul spoke]. [When the officials heard [that Paul and Silas were citizens of Rome]], the officials were shocked.	Acts
1 Samuel 4:13	[When that man arrived in Shiloh] Eli was sitting on a chair [that was near the road]. Eli was worrying about the Ark-of-the-Covenant. [When that man entered Shiloh] that man told the people about the battle. Then all of the people [who were in that town] started crying loudly.	1_Samuel
Mark 4:34	Jesus always used parables [when Jesus taught the people]. But [when Jesus was alone with Jesus's disciples] Jesus explained the meaning of each story/parable to those disciples.	Mark
1 Samuel 19:8	Later the Philistines started attacking the Israelites again. So David fought the Philistines. David killed many Philistines.  So the Philistines ran from David.	1_Samuel
Genesis 35:27	Jacob went to Jacob's father named Isaac [who was at Mamre [which is near Hebron]]. Earlier Abraham and Isaac had lived in Hebron.	Genesis
Ruth 1:21	Naomi said, ["[when I(Naomi) left Bethlehem] I(Naomi) had many things]. But Yahweh took those things from me(Naomi). So You(people) (imp) do not call me(Naomi) Naomi [because Yahweh caused [me(Naomi) to suffer]]."	Ruth
